REQUISITION_NO;LINE_NO;RELEASE_NO;LAST_AUTHORIZED_DATE;WANTED_RECEIPT_DATE;REQUISITIONER_CODE;REQUISITIONER_NAME;NOTE_TEXT;PART_NO;PART_DESCRIPTION;ORIGINAL_QTY;BUY_UNIT_MEAS;FBUY_UNIT_PRICE;SPEC1;SPEC2;SPB_REFERENCE;BUYER_CODE;STATUS
AAL210001248;7;1;2021/08/12 00:00:00.000;2021/08/20 00:00:00.000;ST161_AAL1;Site - Pabrik;@ 25 Meter;171160571;KABEL ROLL; 2.0;pcs; 500000.0;50 m;;RM/PBR/VIII/2021;BUYER504_HO;Authorized
AAL210001248;6;1;2021/08/12 00:00:00.000;2021/08/20 00:00:00.000;ST161_AAL1;Site - Pabrik;KRISBOW / PT31;121010379;HEATING TORCH; 10.0;pcs; 109200.0;KW1400438;;RM/PBR/VIII/2021;BUYER504_HO;Authorized
AAL210001248;5;1;2021/08/12 00:00:00.000;2021/08/20 00:00:00.000;ST161_AAL1;Site - Pabrik;KRISBOW / PT31;171250019;DIFFUSER CONE; 50.0;pcs; 1365.0;215 X 250;;RM/PBR/VIII/2021;BUYER504_HO;Authorized
AAL210001248;4;1;2021/08/12 00:00:00.000;2021/08/20 00:00:00.000;ST161_AAL1;Site - Pabrik;KRISBOW / PT31;171630088;NOZZLE PLASMA CUTTING; 50.0;pcs; 4641.0;CUT-40;;RM/PBR/VIII/2021;BUYER504_HO;Authorized
AAL210001248;3;1;2021/08/12 00:00:00.000;2021/08/20 00:00:00.000;ST161_AAL1;Site - Pabrik;KRISBOW / PT31;111031129;ELECTRODE PLASMA CUTTING; 50.0;pcs; 9828.0;CUT-40;;RM/PBR/VIII/2021;BUYER504_HO;Authorized
AAL210001248;2;1;2021/08/12 00:00:00.000;2021/08/20 00:00:00.000;ST161_AAL1;Site - Pabrik;KRISBOW / PT31;171630092;CERAMIC NOZZLE PLASMA CUTTING; 50.0;pcs; 4273.0;CUT-40;;RM/PBR/VIII/2021;BUYER504_HO;Authorized
AAL210001248;1;1;2021/08/12 00:00:00.000;2021/08/20 00:00:00.000;ST161_AAL1;Site - Pabrik;KRISBOW / PT31;121030838;INVERTER AIR PLASMA CUTTING; 2.0;pcs; 5623800.0;KW1401044;;RM/PBR/VIII/2021;BUYER504_HO;Authorized
INP210001114;4;1;2021/08/12 00:00:00.000;2021/08/06 00:00:00.000;ST166_INP1;Site - Infrastructure;PALU TUKANG;121034470;PALU HITAM; 1.0;pcs; 40000.0;MAX01023405;;03/TEK/INP/AGST/21;BUYER11_INP1;Authorized
INP210001114;3;1;2021/08/12 00:00:00.000;2021/08/06 00:00:00.000;ST166_INP1;Site - Infrastructure;;111030100;ISOLASI; 10.0;pcs; 12500.0;;;03/TEK/INP/AGST/21;BUYER11_INP1;Authorized
INP210001114;1;1;2021/08/12 00:00:00.000;2021/08/06 00:00:00.000;ST166_INP1;Site - Infrastructure;"OBENG LISTRIK WP(-/+) 8""";121034262;OBENG SET; 1.0;set; 450000.0;;;03/TEK/INP/AGST/21;BUYER11_INP1;Authorized
INP210001114;2;1;2021/08/12 00:00:00.000;2021/08/06 00:00:00.000;ST166_INP1;Site - Infrastructure;;121050022;Tangga Lipat; 1.0;unit; 1350000.0;;;03/TEK/INP/AGST/21;BUYER11_INP1;Authorized
