ORDER_NO;LINE_NO;RELEASE_NO;ORDER_DATE;REQUISITION_NO;VENDOR_NO;VENDOR_NAME;PART_NO;PART_DESCRIPTION;COMPANY_NAME;BILLING_ADDRESS;NAMA_PIC_BILLING;TELEPHONE_PIC_BILLING;SHIPPING_ADDRESS;FULL_NAME_PIC_SHIPPING;BUY_QTY_DUE;WANTED_RECEIPT_DATE;TERM;ORDER_FOR;DELIVERY_TERMS_DESC;PO_TRANSPORT;REVISION;HEADER_STATUS;LINE_STATUS
SIP21003049;1;1;2021/08/12 21:17:56.000;SIP210001706;43706;PETRO ANDALAN NUSANTARA;111030377;SOLAR;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);BUMI HARJO, Desa Bumiharjo, Kec. Kumai, Kab. Kotawaringin Barat, Kalimantan Tengah;SIP1-SAWIT(INTI+PKS); 60000.0;2021/08/18 00:00:00.000;7 days after invoice received;BUNGKER BUMIHARJO (13 AGU;FRANCO;TIDAK ADA; 0.0;Released;Released
INP21004651;1;1;2021/08/12 17:48:08.000;INP210001132;12805;NUSANTARA INDAH PERMAI;700032102;TRANSPORT CPO KE PELABUHAN;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);HO9, JL. PULOAYANG RAYA BLOK OR I, KAWASAN INDUSTRI PULOGADUNG, JAKARTA TIMUR, DKI JAKARTA;INP1-SAWIT(INTI+PKS); 500000.0;2021/09/12 00:00:00.000;15 days after invoice received;;FRANCO;TIDAK ADA; 0.0;Released;Released
INP21004652;1;1;2021/08/12 17:48:14.000;INP210001133;12747;SAHATI JAYA;700032102;TRANSPORT CPO KE PELABUHAN;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);HO9, JL. PULOAYANG RAYA BLOK OR I, KAWASAN INDUSTRI PULOGADUNG, JAKARTA TIMUR, DKI JAKARTA;INP1-SAWIT(INTI+PKS); 500000.0;2021/09/12 00:00:00.000;15 days after invoice received;;FRANCO;TIDAK ADA; 0.0;Released;Released
INP21004653;1;1;2021/08/12 17:48:20.000;INP210001134;27145;ALAM PERSADA;700032102;TRANSPORT CPO KE PELABUHAN;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);HO9, JL. PULOAYANG RAYA BLOK OR I, KAWASAN INDUSTRI PULOGADUNG, JAKARTA TIMUR, DKI JAKARTA;INP1-SAWIT(INTI+PKS); 500000.0;2021/09/12 00:00:00.000;15 days after invoice received;;FRANCO;TIDAK ADA; 0.0;Released;Released
PLB21003634;1;1;2021/08/09 11:09:02.000;PLB210002412;17518;BELAWAN TANKI INDONESIA;700036100;SEWA TANGKI / GUDANG;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);HO9, JL. PULOAYANG RAYA BLOK OR I, KAWASAN INDUSTRI PULOGADUNG, JAKARTA TIMUR 13930, DKI JAKARTA;PLB1-SAWIT(INTI+PKS); 2650289.0;2021/08/20 00:00:00.000;14 days after invoice received;;FRANCO;TIDAK ADA; 0.0;Released;Released
SLS21005113;1;1;2021/08/10 18:11:50.000;SLS210001928;43085;MITRA AGRO PERSADA;700023102;RM MESIN;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);KTR BESAR SLS, DESA GENDUANG, KECAMATAN PANGKALAN LESUNG, KABUPATEN PELALAWAN, RIAU;SLS1-SAWIT(INTI+PKS); 1.0;2021/09/30 00:00:00.000;7 days after invoice received;U/ GENSET AFD OF;FRANCO;TIDAK ADA; 0.0;Released;Released
SLS21005114;1;1;2021/08/10 18:11:39.000;SLS210001832;43085;MITRA AGRO PERSADA;700023102;RM MESIN;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);KTR BESAR SLS, DESA GENDUANG, KECAMATAN PANGKALAN LESUNG, KABUPATEN PELALAWAN, RIAU;SLS1-SAWIT(INTI+PKS); 1.0;2021/09/30 00:00:00.000;7 days after invoice received;U/ POMPA SOLAR GUDANG;FRANCO;TIDAK ADA; 0.0;Released;Released
EDI21002840;1;1;2021/08/12 15:50:44.000;EDI210001802;11196;POLA RAYA JAYA SAKTI;173510049;Pertamina Hydraulic Oil;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);GDG PABRIK EDI1, DESA KOTA LAMA, KEC. KUNTO DARUSSALAM, KAB. ROKAN HULU, RIAU;EDI1-SAWIT(INTI+PKS); 2090.0;2021/08/25 00:00:00.000;30 days after invoice received;PABRIK;FRANCO;TIDAK ADA; 0.0;Released;Released
EDI21002841;5;1;2021/08/12 15:44:08.000;EDI210001685;11188;PELITA KENCANA;174380004;Bronze Bush;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);GDG PABRIK EDI1, DESA KOTA LAMA, KEC. KUNTO DARUSSALAM, KAB. ROKAN HULU, RIAU;EDI1-SAWIT(INTI+PKS); 3.0;2021/08/30 00:00:00.000;30 days after invoice received;BUNCH PRESS;FRANCO;TIDAK ADA; 0.0;Released;Released
EDI21002841;4;1;2021/08/12 15:44:08.000;EDI210001685;11188;PELITA KENCANA;174380000;Adjustable Knife;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);GDG PABRIK EDI1, DESA KOTA LAMA, KEC. KUNTO DARUSSALAM, KAB. ROKAN HULU, RIAU;EDI1-SAWIT(INTI+PKS); 9.0;2021/08/30 00:00:00.000;30 days after invoice received;BUNCH PRESS;FRANCO;TIDAK ADA; 0.0;Released;Released
EDI21002841;3;1;2021/08/12 15:44:08.000;EDI210001685;11188;PELITA KENCANA;174380009;Cage Ring (3 Blade Type) Assy;PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);GDG PABRIK EDI1, DESA KOTA LAMA, KEC. KUNTO DARUSSALAM, KAB. ROKAN HULU, RIAU;EDI1-SAWIT(INTI+PKS); 3.0;2021/08/30 00:00:00.000;30 days after invoice received;BUNCH PRESS;FRANCO;TIDAK ADA; 0.0;Released;Released
EDI21002841;2;1;2021/08/12 15:44:08.000;EDI210001685;11188;PELITA KENCANA;174380001;Scraper Blade (L);PT Astra Argo Lestari Tbk;Jl Pulo Ayang Raya Blok OR-1, Kawasan Industri Pulogadung, Jakarta Timur, Jakarta 13930;PT Astra Argo Lestari Tbk;(021) 4616555(Hunting);GDG PABRIK EDI1, DESA KOTA LAMA, KEC. KUNTO DARUSSALAM, KAB. ROKAN HULU, RIAU;EDI1-SAWIT(INTI+PKS); 6.0;2021/08/30 00:00:00.000;30 days after invoice received;BUNCH PRESS;FRANCO;TIDAK ADA; 0.0;Released;Released
